Term,Definition
Right of Nomination,A Data Principal's right to nominate another individual to exercise their rights in the event of death or incapacity.
Right to Access,A Data Principal's right to obtain a summary of their personal data being processed and the processing activities undertaken.
Right to Correction and Erasure,"A Data Principal's right to have inaccurate or incomplete personal data corrected, and to have data erased once no longer necessary."
Right to Grievance Redressal,A Data Principal's right to have a readily available means of registering a grievance about processing or rights fulfilment.
Rights Fulfilment SLA,The internally defined target turnaround time for responding to a specific type of Data Principal rights request.
Sensitive Personal Data,"A nuanced concept: the DPDPA itself does not formally define a separate ""sensitive"" category, unlike GDPR or India's earlier SPDI Rules."
Significant Data Fiduciary,"A Data Fiduciary designated by the Central Government for enhanced obligations, based on factors like data volume, sensitivity and risk."
State Instrumentality,A concept relevant to how certain exemptions and obligations apply differently to government bodies and their instrumentalities under the Act.
Verifiable Parental Consent,"The heightened consent standard required before processing a child's personal data — consent must be genuinely verifiable, not merely self-declared."
Voluntary Undertaking,"A commitment a Data Fiduciary can voluntarily offer to the Data Protection Board to address a compliance issue, potentially resolving proceedings without a full penalty order."
Withdrawal of Consent,"A Data Principal's right to withdraw previously given consent at any time, with a withdrawal process as easy to use as the consent process."
